id,name,set_number,picture,theme_id,,,,
78,1 x 6 Sand Red Bricks,10006-1,,254,,,,
79,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,10007-1,,254,,,,
80,2 x 4 Roof Tile Sand Red,10008-1,,254,,,,
81,Assorted Blue Bricks,10009-1,,254,,,,
82,4.5V Motor with Wheels (Small Version),100-1,,243,,,,
83,Assorted Yellow Bricks,10010-1,,254,,,,
84,Assorted Blue Plates,10011-1,,254,,,,
85,Assorted Yellow Plates,10012-1,,254,,,,
86,Open Freight Wagon,10013-1,,238,,,,
87,Caboose,10014-1,,238,,,,
88,Passenger Wagon,10015-1,,238,,,,
89,Tanker,10016-1,,238,,,,
90,Hopper Wagon,10017-1,,238,,,,
91,Darth Maul,10018-1,,171,,,,
92,Rebel Blockade Runner - UCS,10019-1,,171,,,,
93,4.5V Motor with Wheels (Large Version),100-2,,243,,,,
94,Santa Fe Super Chief,10020-1,,236,,,,
95,Santa Fe Super Chief - Limited Edition,10020-2,,236,,,,
96,U.S.S. Constellation,10021-1,,404,,,,
97,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",10022-1,,237,,,,
98,Master Builder Set,10023-1,,324,,,,
99,Red Baron,10024-1,,673,,,,
100,Santa Fe Cars - Set I (mail or baggage car),10025-1,,237,,,,
101,Naboo Starfighter - UCS,10026-1,,171,,,,
102,Train Engine Shed,10027-1,,239,,,,
103,Lunar Lander,10029-1,,387,,,,
104,Imperial Star Destroyer,10030-1,,171,,,,
105,Pizza To Go,10036-1,,75,,,,
106,Breezeway Cafe,10037-1,,75,,,,
107,Black Falcon's Fortress,10039-1,,187,,,,
108,Black Seas Barracuda,10040-1,,147,,,,
109,Main Street,10041-1,,85,,,,
110,American Flag,10042-1,,206,,,,
111,2x2 Electrical Plate,10043-1,,254,,,,
112,Windows and Doors,10044-1,,254,,,,
113,Pillars and Beams,10045-1,,254,,,,
114,Brown Tiles,10046-1,,254,,,,
115,Light Gray Arches,10047-1,,254,,,,
116,Small Wheels and Axles,10048-1,,254,,,,
117,Large Wheels and Axles,10049-1,,254,,,,
118,Gray Fences,10050-1,,254,,,,
119,Transparent Bricks,10051-1,,254,,,,
120,Intelligent Locomotive (Explore),10052-1,,634,,,,
121,Black Slopes 33,10053-1,,254,,,,
122,Black Slopes 33 3 x 2 and 3 x 4,10054-1,,254,,,,
123,Black Slopes 33 3 x 1 and 3 x 3,10055-1,,254,,,,
124,White Plates 2 x n,10056-1,,254,,,,
125,Black Plates 2 x n,10057-1,,254,,,,
126,Red Plates 2 x n,10058-1,,254,,,,
127,Dark Green Plates 2 x n,10059-1,,254,,,,
128,Light Gray Plates 2 x n,10060-1,,254,,,,
129,Black Plates 1 x n,10061-1,,254,,,,
130,Red Plates 1 x n,10062-1,,254,,,,
131,Dark Green Plates 1 x n,10063-1,,254,,,,
132,Light Gray Plates 1 x n,10064-1,,254,,,,
133,White Plates 1 x n,10065-1,,254,,,,
134,Castle Accessories,10066-1,,255,,,,
135,Mini-Fig Headgear,10067-1,,254,,,,
136,Santa Claus,10068-1,,227,,,,
137,Christmas Tree,10069-1,,227,,,,
138,Reindeer,10070-1,,227,,,,
139,Mr. Bunny,10071-1,,229,,,,
140,TECHNIC Beams,10072-1,,256,,,,
141,Bushes,10073-1,,256,,,,
142,Cross Axles,10074-1,,256,,,,
143,Spider-Man Action Pack,10075-1,,706,,,,
144,TECHNIC Gear Wheels,10076-1,,256,,,,
145,TECHNIC Motor,10077-1,,256,,,,
146,Train Connection Wire,10078-1,,257,,,,
147,Snowman,10079-1,,227,,,,
148,Angel,10080-1,,227,,,,
149,Birthday Pack Heart,10081-1,,500,,,,
150,Birthday Pack Daisy,10082-1,,500,,,,
151,Birthday Pack Star,10083-1,,500,,,,
152,Turkey,10090-1,,231,,,,
153,100 LEGO Stores North America,100STORES-1,,408,,,,
154,Snowflake,10106-1,,227,,,,
155,4.5V Battery Case,101-1,,243,,,,
156,Number/Symbol Blocks,1011-1,,516,,,,
157,Foliferous Tree,10111-1,,254,,,,
158,Bush,10112-1,,254,,,,
159,Cypress Trees,10113-1,,254,,,,
160,2 x 2 Sand Red Roof Tiles,10114-1,,254,,,,
161,Jumper Bricks,10115-1,,254,,,,
162,Accessories Heart,10116-1,,500,,,,
163,Accessories Daisy,10117-1,,500,,,,
164,Accessories Star,10118-1,,500,,,,
165,Imagination Set 1,101-2,,366,,,,
166,NBA Basketball Teams,10121-1,,459,,,,
167,Cloud City,10123-1,,171,,,,
168,Wright Flyer,10124-1,,673,,,,
169,NHL Action Set with Stickers,10127-1,,461,,,,
170,Train Level Crossing,10128-1,,239,,,,
171,Rebel Snowspeeder - UCS,10129-1,,171,,,,
172,4.5V Battery Case,101-3,,243,,,,
173,Numbers (6 Symbols),1013-1,,516,,,,
174,TIE Fighter Collection,10131-1,,171,,,,
175,Motorized Hogwarts Express,10132-1,,246,,,,
176,Burlington Northern Santa Fe Locomotive,10133-1,,236,,,,
177,Y-wing Attack Starfighter - UCS,10134-1,,171,,,,
178,Holiday Decoration Kit,10135-1,,500,,,,
179,Death Star II,10143-1,,171,,,,
180,Sandcrawler,10144-1,,171,,,,
181,Assorted Light Gray Bricks,10145-1,,254,,,,
182,Assorted Dark Gray Bricks,10146-1,,254,,,,
183,Assorted Brown Bricks,10147-1,,254,,,,
184,Assorted Light Gray Plates,10148-1,,254,,,,
185,Assorted Dark Gray Plates,10149-1,,254,,,,
186,Assorted Brown Plates,10150-1,,254,,,,
187,Hot Rod,10151-1,,278,,,,
188,Maersk Sealand Container Ship 2004 Edition,10152-1,,673,,,,
189,Maersk Sealand Container Ship 2005 Edition,10152-2,,673,,,,
190,Maersk Line Container Ship 2006 Edition,10152-3,,673,,,,
191,Electric Train Motor 9V (My Own Train),10153-1,,244,,,,
192,Maersk Line Container Ship 2010 Edition,10155-1,,673,,,,
193,LEGO Truck,10156-1,,85,,,,
194,High Speed Train Locomotive,10157-1,,239,,,,
195,High Speed Train Car,10158-1,,239,,,,
196,City Airport,10159-1,,53,,,,
197,City Airport (Full Size Image Box),10159-2,,68,,,,
198,Black Ridge Roof Tiles,10160-1,,254,,,,
199,Black Roof Tiles,10161-1,,254,,,,
200,Red Ridge Tiles,10162-1,,254,,,,
201,Red Roof Tiles,10163-1,,254,,,,
202,Elf Boy,10165-1,,227,,,,
203,Elf Girl,10166-1,,227,,,,
204,Brickmaster Welcome Kit,10167-1,,301,,,,
205,Mrs. Bunny,10168-1,,229,,,,
206,Chicken & Chicks,10169-1,,229,,,,
207,TTX Intermodal Double-Stack Car,10170-1,,236,,,,
208,Holiday Train,10173-1,,673,,,,
209,Imperial AT-ST - UCS,10174-1,,171,,,,
210,Vader's TIE Advanced - UCS,10175-1,,171,,,,
211,Royal King's Castle,10176-1,,197,,,,
212,Boeing 787 Dreamliner,10177-1,,673,,,,
213,Motorized Walking AT-AT,10178-1,,171,,,,
214,Millennium Falcon - UCS,10179-1,,171,,,,
215,Eiffel Tower 1:300,10181-1,,673,,,,
216,Cafe Corner,10182-1,,155,,,,
217,Hobby Train,10183-1,,397,,,,
218,Town Plan,10184-1,,104,,,,
219,Green Grocer,10185-1,,155,,,,
220,General Grievous,10186-1,,171,,,,
221,Volkswagen Beetle (VW Beetle),10187-1,,673,,,,
222,Death Star,10188-1,,171,,,,
223,Taj Mahal,10189-1,,673,,,,
224,Market Street,10190-1,,155,,,,
225,Star Justice,10191-1,,397,,,,
226,Space Skulls,10192-1,,397,,,,
227,Medieval Market Village,10193-1,,193,,,,
228,Emerald Night,10194-1,,673,,,,
229,Republic Dropship with AT-OT,10195-1,,171,,,,
230,Grand Carousel,10196-1,,673,,,,
231,Fire Brigade,10197-1,,155,,,,
232,Tantive IV,10198-1,,171,,,,
233,Winter Toy Shop,10199-1,,227,,,,
234,Universal Building Set,10-Feb,,469,,,,
235,Custom Car Garage,10200-1,,397,,,,
236,Basic Bricks,1020-1,,516,,,,
237,Takutanuva,10201-1,,347,,,,
238,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),10202-1,,347,,,,
239,Ultimate Dume,10202-2,,347,,,,
240,Voporak,10203-1,,347,,,,
241,Vezon & Kardas,10204-1,,347,,,,
242,Locomotive,10205-1,,238,,,,
243,4.5V Motor Set,102-1,,243,,,,
244,Imperial Flagship,10210-1,,153,,,,
245,Basic Vehicles,1021-1,,516,,,,
246,Grand Emporium,10211-1,,155,,,,
247,Imperial Shuttle,10212-1,,171,,,,
248,Shuttle Adventure,10213-1,,673,,,,
249,Supplemental Pack for Shuttle Adventure Set 10213,10213sup-1,,443,,,,
250,Tower Bridge,10214-1,,673,,,,
251,Obi-Wan's Jedi Starfighter,10215-1,,171,,,,
252,Winter Village Bakery,10216-1,,227,,,,
253,Diagon Alley,10217-1,,246,,,,
254,Pet Shop,10218-1,,155,,,,
255,Maersk Container Train,10219-1,,673,,,,
256,Volkswagen T1 Camper Van,10220-1,,673,,,,
257,Mini Basic Bricks,1022-1,,516,,,,
258,Super Star Destroyer,10221-1,,171,,,,
259,Winter Village Post Office,10222-1,,227,,,,
260,Kingdoms Joust,10223-1,,196,,,,
261,Town Hall,10224-1,,155,,,,
262,R2-D2,10225-1,,171,,,,
263,Sopwith Camel,10226-1,,673,,,,
264,B-wing Starfighter,10227-1,,171,,,,
265,Haunted House,10228-1,,558,,,,
266,Winter Village Cottage,10229-1,,227,,,,
267,Super Value Set,102-3,,411,,,,
268,Mini Modulars,10230-1,,156,,,,
269,Red Baseplate,1023-1,,516,,,,
270,Shuttle Expedition,10231-1,,673,,,,
271,Palace Cinema,10232-1,,155,,,,
272,Horizon Express,10233-1,,673,,,,
273,Sydney Opera House,10234-1,,673,,,,
274,Winter Village Market,10235-1,,227,,,,
275,Ewok Village,10236-1,,171,,,,
276,The Tower of Orthanc,10237-1,,566,,,,
277,Red Five X-Wing Starfighter,10240-1,,171,,,,
278,Animals,1024-1,,516,,,,
279,Maersk Line Triple-E,10241-1,,673,,,,
280,MINI Cooper,10242-1,,673,,,,
281,MINI Cooper (Late 2015 Re-Issue),10242-2,,673,,,,
282,Parisian Restaurant,10243-1,,155,,,,
283,Fairground Mixer,10244-1,,673,,,,
284,Santa’s Workshop,10245-1,,227,,,,
285,Adventurers Value Pack (TRU Exclusive),1024601-1,,297,,,,
286,Detective’s Office,10246-1,,155,,,,
287,Ferris Wheel,10247-1,,673,,,,
288,Ferrari F40,10248-1,,673,,,,
289,Winter Toy Shop,10249-1,,227,,,,
290,Year Of The Snake,10250-1,,206,,,,
291,Figures and Furniture,1025-1,,516,,,,
292,Brick Bank,10251-1,,155,,,,
293,Volkswagen Beetle,10252-1,,673,,,,
294,Big Ben,10253-1,,673,,,,
295,Winter Holiday Train,10254-1,,228,,,,
296,Assembly Square,10255-1,,155,,,,
297,Taj Mahal,10256-1,,673,,,,
298,Carousel,10257-1,,673,,,,
299,London Bus,10258-1,,673,,,,
300,Winter Village Station,10259-1,,227,,,,
301,Downtown Diner,10260-1,,155,,,,
302,Playhouse Boxes,1026-1,,516,,,,
303,Roller Coaster,10261-1,,673,,,,
304,James Bond Aston Martin DB5,10262-1,,673,,,,
305,Winter Village Fire Station,10263-1,,227,,,,
306,Corner Garage,10264-1,,155,,,,
307,Ford Mustang,10265-1,,673,,,,
308,NASA Apollo 11 Lunar Lander,10266-1,,673,,,,
309,Gingerbread House,10267-1,,228,,,,
310,Vestas Wind Turbine,10268-1,,673,,,,
311,Harley-Davidson Fat Boy,10269-1,,673,,,,
312,Bookshop,10270-1,,155,,,,
313,Vehicles,1027-1,,516,,,,
314,Fiat 500,10271-1,,673,,,,
315,Old Trafford - Manchester United,10272-1,,673,,,,
316,Haunted House,10273-1,,673,,,,
317,ECTO-1,10274-1,,607,,,,
318,Elf Club House,10275-1,,227,,,,
319,Colosseum,10276-1,,673,,,,
320,Crocodile Locomotive,10277-1,,673,,,,
321,Police Station,10278-1,,155,,,,
322,Flower Bouquet,10280-1,,673,,,,
323,6 x 12 Base Bricks,1028-1,,516,,,,
324,Bonsai,10281-1,,673,,,,
325,Compass Sensor for Mindstorms NXT,10285-1,,259,,,,
326,Intelligent NXT Brick (Black),10287-1,,259,,,,
327,Milk Delivery Truck - Tine,1029-1,,75,,,,
328,Porsche 911 Turbo & 911 Targa,10295-1,,673,,,,
329,Front-End Loader,102A-1,,416,,,,
330,Front-End Loader,102A-2,,416,,,,
331,Locomotive Wheels,10-Mar,,456,,,,
332,TECHNIC I: Simple Machines Set,1030-1,,1,,,,
333,4.5V Motor Set with Rubber Tracks,103-1,,473,,,,
334,Building Cards - 1030,1031-1,,532,,,,
335,Imagination Set 3,103-2,,366,,,,
336,TECHNIC II Set {4.5v},1032-1,,507,,,,
337,Building Cards - 1032,1033-1,,532,,,,
338,Teachers Resource Set,1034-1,,532,,,,
339,ERBIE the Robo-Car,1038-1,,1,,,,
340,Manual Control Set 1,1039-1,,1,,,,
341,Farm (with Picture Book),1040-1,,516,,,,
342,Rainbow Fun,10401-1,,621,,,,
343,Farm Set,1040-2,,516,,,,
344,Fun Future,10402-1,,621,,,,
345,Universal Building Set,1040-3,,504,,,,
346,World Fun,10403-1,,621,,,,
347,Ocean's Bottom,10404-1,,621,,,,
348,Mission to Mars,10405-1,,621,,,,
349,Replacement 4.5V Motor,104-1,,243,,,,
350,Harbor,1041-1,,516,,,,
351,Universal Building Set,1041-2,,516,,,,
352,Community People,1042-1,,516,,,,
353,Farm Animals (and Fences),1043-1,,516,,,,
354,Community Vehicles,1044-1,,516,,,,
355,Industrial Elements,1045-1,,516,,,,
356,Educational LEGO Building Set,1045-2,,511,,,,
357,Train Set,1046-1,,516,,,,
358,Extra Track,1047-1,,516,,,,
359,Bridge and Crossing Tracks,1048-1,,516,,,,
360,Ships - 247 elements and 1 poster,1049-1,,510,,,,
361,Horse Stable,10500-1,,632,,,,
362,Basic Pack,1050-1,,534,,,,
363,Zoo friends,10501-1,,632,,,,
364,Zoo Bus,10502-1,,632,,,,
365,Circus Show,10503-1,,632,,,,
366,My First Circus,10504-1,,632,,,,
367,Play House,10505-1,,652,,,,
368,Train Accessory Set,10506-1,,634,,,,
369,My First Train Set,10507-1,,634,,,,
370,Deluxe Train Set,10508-1,,634,,,,
371,Dusty and Chug,10509-1,,627,,,,
372,Canada Post Truck,105-1,,67,,,,
373,Ripslinger's Air Race,10510-1,,627,,,,
374,Skipper's Flight School,10511-1,,627,,,,
375,Jake's Treasure Hunt,10512-1,,638,,,,
376,Never Land Hideout,10513-1,,638,,,,
377,Jake's Pirate Ship Bucky,10514-1,,638,,,,
378,Ariel's Undersea Castle,10515-1,,640,,,,
379,Ariel's Magical Boat Ride,10516-1,,640,,,,
380,My First Garden,10517-1,,632,,,,
381,My First Construction Site,10518-1,,632,,,,
382,Garbage Truck,10519-1,,632,,,,
383,Building Set,105-2,,469,,,,
384,Big Front Loader,10520-1,,632,,,,
385,Baby Calf,10521-1,,632,,,,
386,Farm Animals,10522-1,,632,,,,
387,Farm Tractor,10524-1,,632,,,,
388,Big Farm,10525-1,,632,,,,
389,Peter Pan's Visit,10526-1,,638,,,,
390,Ambulance,10527-1,,632,,,,
391,School Bus,10528-1,,632,,,,
392,Truck,10529-1,,632,,,,
393,Community Buildings,1053-1,,533,,,,
394,Mickey Mouse and Friends,10531-1,,641,,,,
395,My First Police Set,10532-1,,632,,,,
396,Fire and Rescue Team,10538-1,,627,,,,
397,Beach Racing,10539-1,,638,,,,
398,Stena Line Ferry,1054-1,,471,,,,
399,Sleeping Beauty's Fairy Tale,10542-1,,640,,,,
400,Superman Rescue,10543-1,,653,,,,
401,The Joker Challenge,10544-1,,653,,,,
402,Batcave Adventure,10545-1,,653,,,,
403,My First Shop,10546-1,,632,,,,
404,Circus Transport,10550-1,,632,,,,
405,Creative Cars,10552-1,,632,,,,
406,Toddler Build and Play Cubes,10553-1,,505,,,,
407,Toddler Build and Pull Along,10554-1,,505,,,,
408,Creative Bucket,10555-1,,505,,,,
409,Creative Chest,10556-1,,505,,,,
410,Giant Tower,10557-1,,505,,,,
411,Number Train,10558-1,,504,,,,
412,A Fairy Tale,10559-1,,505,,,,
413,Peekaboo Jungle,10560-1,,505,,,,
414,Basic School Pack - 773 elements with teacher's manual,1056-1,,534,,,,
415,Toddler Starter Building Set,10561-1,,505,,,,
416,Creative Suitcase,10565-1,,504,,,,
417,Creative Picnic,10566-1,,504,,,,
418,Toddler Build and Boat Fun,10567-1,,504,,,,
419,Knight Tournament,10568-1,,647,,,,
420,Treasure Attack,10569-1,,647,,,,
421,All-in-One-Gift-Set,10570-1,,504,,,,
422,All-in-One-Pink-Box-of-Fun,10571-1,,504,,,,
423,All-in-One-Box-of-Fun,10572-1,,504,,,,
424,Creative Animals,10573-1,,504,,,,
425,Creative Ice Cream,10574-1,,504,,,,
426,Duplo Creative Building Cube,10575-1,,504,,,,
427,Zoo Care,10576-1,,632,,,,
428,Big Royal Castle,10577-1,,647,,,,
429,Clubhouse Café,10579-1,,641,,,,
430,Deluxe Box of Fun,10580-1,,504,,,,
431,Forest: Ducks,10581-1,,504,,,,
432,Forest: Animals,10582-1,,504,,,,
433,Forest: Fishing Trip,10583-1,,504,,,,
434,Forest: Park,10584-1,,504,,,,
435,Mom and Baby,10585-1,,504,,,,
436,Ice Cream Truck,10586-1,,504,,,,
437,Café,10587-1,,632,,,,
438,Rally Car,10589-1,,504,,,,
439,Airport,10590-1,,632,,,,
440,Fire Boat,10591-1,,632,,,,
441,Fire Truck,10592-1,,632,,,,
442,Fire Station,10593-1,,632,,,,
443,Sofia the First Royal Stable,10594-1,,639,,,,
444,Sofia the First Royal Castle,10595-1,,639,,,,
445,Disney Princess Collection,10596-1,,640,,,,
446,Mickey & Minnie Birthday Parade,10597-1,,641,,,,
447,Batman Adventure,10599-1,,653,,,,
448,Classic Race,10600-1,,506,,,,
449,Road Plates and Signs,1060-1,,533,,,,
450,Delivery Vehicle,10601-1,,632,,,,
451,Camping,10602-1,,632,,,,
452,My First Bus,10603-1,,632,,,,
453,Treasure Island,10604-1,,638,,,,
454,Rosie the Ambulance,10605-1,,648,,,,
455,Backyard Clinic,10606-1,,648,,,,
456,Spider-Man Web-Bike Workshop,10607-1,,630,,,,
457,Spider-Man Spider Truck Adventure,10608-1,,630,,,,
458,UNICEF Van,106-1,,79,,,,
459,Single Disk Pack,1061-1,,20,,,,
460,My First Tractor,10615-1,,632,,,,
461,My First Playhouse,10616-1,,504,,,,
462,My First Farm,10617-1,,632,,,,
463,Creative Building Box,10618-1,,504,,,,
464,Town Vehicles,1062-1,,533,,,,
465,Large Creative Box,10622-1,,504,,,,
466,Basic Bricks Large,10623-1,,505,,,,
467,Community Workers,1063-1,,533,,,,
468,Dacta Buildings,1064-1,,533,,,,
469,House Accessories - 182 elements,1065-1,,534,,,,
470,XL Creative Brick Box,10654-1,,621,,,,
471,Monster Trucks,10655-1,,37,,,,
472,My First LEGO Princess,10656-1,,37,,,,
473,My First LEGO Set,10657-1,,37,,,,
474,Blue Suitcase,10659-1,,37,,,,
475,Pink Suitcase,10660-1,,37,,,,
476,36 Little People + Accessories,1066-1,,533,,,,
477,My First LEGO Fire Station,10661-1,,37,,,,
478,LEGO Creative Bucket,10662-1,,37,,,,
479,Creative Chest,10663-1,,37,,,,
480,Creative Tower,10664-1,,22,,,,
481,Spider-Man: Spider-Car Pursuit,10665-1,,596,,,,
482,Digger,10666-1,,591,,,,
483,Construction,10667-1,,591,,,,
484,Princess Play Castle,10668-1,,591,,,,
485,Turtle Lair,10669-1,,591,,,,
486,Community Vehicles,1067-1,,507,,,,
487,Fire Emergency,10671-1,,591,,,,
488,Batman: Defend the Batcave,10672-1,,592,,,,
489,Race Car Rally,10673-1,,591,,,,
490,Pony Farm,10674-1,,591,,,,
491,Police – The Big Escape,10675-1,,591,,,,
492,Knights’ Castle,10676-1,,591,,,,
493,Beach Trip,10677-1,,591,,,,
494,Pirate Treasure Hunt,10679-1,,591,,,,
495,Garbage Truck,10680-1,,591,,,,
496,Air Patrol,1068-1,,87,,,,
497,Creative Building Cube,10681-1,,37,,,,
498,Creative Suitcase,10682-1,,37,,,,
499,Road Work Truck,10683-1,,591,,,,
500,Supermarket Suitcase,10684-1,,591,,,,
501,Fire Suitcase,10685-1,,591,,,,
502,Family House,10686-1,,591,,,,
503,Spider-Man Hideout,10687-1,,596,,,,
504,Speedboat,1069-1,,92,,,,
505,Creative Bricks,10692-1,,621,,,,
506,Creative Supplement,10693-1,,621,,,,
507,Creative Supplement Bright,10694-1,,621,,,,
508,Creative Building Box,10695-1,,621,,,,
509,Medium Creative Brick Box,10696-1,,621,,,,
510,XXXL Box,10697-1,,621,,,,
511,Large Creative Brick Box,10698-1,,621,,,,
512,Sand Baseplate,10699-1,,621,,,,
513,Green Baseplate,10700-1,,621,,,,
514,Stunt Flyer,1070-1,,87,,,,
515,Gray Baseplate,10701-1,,621,,,,
516,Creative Building Set,10702-1,,621,,,,
517,Creative Builder Box,10703-1,,621,,,,
518,Creative Box,10704-1,,621,,,,
519,Creative Building Basket,10705-1,,621,,,,
520,Blue Creative Box,10706-1,,621,,,,
521,Red Creative Box,10707-1,,621,,,,
522,Green Creative Box,10708-1,,621,,,,
523,Orange Creative Box,10709-1,,621,,,,
524,4.5V Motor Set,107-1,,473,,,,
525,Bricks 2 x 2 and 2 x 4,1071-1,,516,,,,
526,Bricks and Gears,10712-1,,621,,,,
527,Creative Suitcase,10713-1,,621,,,,
528,Blue Baseplate,10714-1,,621,,,,
529,Bricks on a Roll,10715-1,,621,,,,
530,Bricks Bricks Bricks,10717-1,,621,,,,
531,Canada Post Mail Truck,107-2,,67,,,,
532,Police Helicopter Chase,10720-1,,591,,,,
533,Iron Man vs. Loki,10721-1,,596,,,,
534,Snake Showdown,10722-1,,597,,,,
535,Ariel's Dolphin Carriage,10723-1,,593,,,,
536,Batman & Superman vs. Lex Luthor,10724-1,,592,,,,
537,Lost Temple,10725-1,,597,,,,
538,Stephanie's Horse Carriage,10726-1,,595,,,,
539,Emma's Ice Cream Truck,10727-1,,595,,,,
540,Mia's Vet Clinic,10728-1,,595,,,,
541,Cinderella's Carriage,10729-1,,593,,,,
542,4.5V Reversible Power Unit,107-3,,371,,,,
543,Lightning McQueen Speed Launcher,10730-1,,615,,,,
544,Cruz Ramirez Race Simulator,10731-1,,615,,,,
545,Guido and Luigi's Pit Stop,10732-1,,615,,,,
546,Mater's Junkyard,10733-1,,615,,,,
547,Demolition Site,10734-1,,591,,,,
548,Police Truck Chase,10735-1,,591,,,,
549,Anna & Elsa's Frozen Playground,10736-1,,591,,,,
550,Batman vs. Mr. Freeze,10737-1,,592,,,,
551,Snow White's Forest Cottage,10738-1,,593,,,,
552,Shark Attack,10739-1,,597,,,,
553,Fire Patrol Suitcase,10740-1,,591,,,,
554,Willy's Butte Speed Training,10742-1,,615,,,,
555,Smokey's Garage,10743-1,,615,,,,
556,Thunder Hollow Crazy 8 Race,10744-1,,615,,,,
557,Florida 500 Race Final,10745-1,,615,,,,
558,Mia's Farm Suitcase,10746-1,,595,,,,
559,Andrea and Stephanie's Beach Holiday,10747-1,,595,,,,
560,Emma's Pet Party,10748-1,,595,,,,
561,Mia's Organic Food Market,10749-1,,595,,,,
562,Road Repair Truck,10750-1,,591,,,,
563,LEGO People Supplementary Set,1075-1,,511,,,,
564,Mountain Police Chase,10751-1,,591,,,,
565,The Joker Batcave Attack,10753-1,,592,,,,
566,Spider-Man vs. Scorpion Street Showdown,10754-1,,596,,,,
567,Zane's Ninja Boat Pursuit,10755-1,,597,,,,
568,Pteranadon Escape,10756-1,,620,,,,
569,Raptor Rescue Truck,10757-1,,620,,,,
570,T.Rex Breakout,10758-1,,620,,,,
571,Elastigirl's Rooftop Pursuit,10759-1,,591,,,,
572,Underminer Bank Heist,10760-1,,591,,,,
573,Advent Calendar 1999,1076-1,,207,,,,
574,The Great Home Escape,10761-1,,591,,,,
575,Belle's Story Time,10762-1,,593,,,,
